2024-08-26 17:11:23:790 | rk/LoggerLib/source/logLib.cpp:stateLogFile:(99)      INFO   :    New logging session started
2024-08-26 17:11:23:790 | k/LoggerLib/source/example.cpp:main:(13)              INFO   :    function with name: main started
2024-08-26 17:11:23:790 | k/LoggerLib/source/example.cpp:main:(14)              INFO   :    function with name: main finished
2024-08-26 17:11:23:790 | k/LoggerLib/source/example.cpp:main:(21)              DEBUG  :    [constCharPtrVar : i am const char ptr] [longDoubleVar : 3.14159] [boolVar : 1] [file : 0x55555555a2a0] 
2024-08-26 17:11:23:790 | k/LoggerLib/source/example.cpp:main:(24)              DEBUG  :    i am log debug
2024-08-26 17:11:23:790 | k/LoggerLib/source/example.cpp:main:(25)              INFO   :    i am log info
2024-08-26 17:11:23:790 | k/LoggerLib/source/example.cpp:main:(26)              WARNING:    i am log warn
2024-08-26 17:11:23:790 | k/LoggerLib/source/example.cpp:main:(27)              ERROR  :    i am log error
2024-08-26 17:17:49:344 | rk/LoggerLib/source/logLib.cpp:stateLogFile:(99)      INFO   :    New logging session started
2024-08-26 17:17:49:344 | k/LoggerLib/source/example.cpp:main:(13)              INFO   :    function with name: main started
2024-08-26 17:17:49:344 | k/LoggerLib/source/example.cpp:main:(14)              INFO   :    function with name: main finished
2024-08-26 17:17:49:344 | k/LoggerLib/source/example.cpp:main:(24)              DEBUG  :    i am log debug
2024-08-26 17:17:49:344 | k/LoggerLib/source/example.cpp:main:(25)              INFO   :    i am log info
2024-08-26 17:17:49:344 | k/LoggerLib/source/example.cpp:main:(26)              WARNING:    i am log warn
2024-08-26 17:17:49:344 | k/LoggerLib/source/example.cpp:main:(27)              ERROR  :    i am log error
